Field Name,Crop ID,Crop Name,Crop Type,Planting Area,Season,Field Type,Field Area,Field ID,Per Yield,Per Cost,Price,Yield,Cost,Selling,Revenue,Profit
A1,6,小麦,粮食,80.0,第一季,平旱地,80.0,1,800.0,450.0,3.5,64000.0,36000.0,51200.0,179200.0,143200.0
A2,7,玉米,粮食,55.0,第一季,平旱地,55.0,2,1000.0,500.0,3.0,55000.0,27500.0,44000.0,132000.0,104500.0
A3,7,玉米,粮食,35.0,第一季,平旱地,35.0,3,1000.0,500.0,3.0,35000.0,17500.0,28000.0,84000.0,66500.0
A4,1,黄豆,粮食（豆类）,72.0,第一季,平旱地,72.0,4,400.0,400.0,3.25,28800.0,28800.0,23040.0,74880.0,46080.0
A5,4,绿豆,粮食（豆类）,68.0,第一季,平旱地,68.0,5,350.0,350.0,7.0,23800.0,23800.0,19040.0,133280.0,109480.0
A6,8,谷子,粮食,55.0,第一季,平旱地,55.0,6,400.0,360.0,6.75,22000.0,19800.0,17600.0,118800.0,99000.0
B1,6,小麦,粮食,60.0,第一季,梯田,60.0,7,760.0,450.0,3.5,45600.0,27000.0,36480.0,127680.0,100680.0
B2,2,黑豆,粮食（豆类）,46.0,第一季,梯田,46.0,8,475.0,400.0,7.5,21850.0,18400.0,17480.0,131100.0,112700.0
B3,3,红豆,粮食（豆类）,40.0,第一季,梯田,40.0,9,380.0,350.0,8.25,15200.0,14000.0,12160.0,100320.0,86320.0
B4,4,绿豆,粮食（豆类）,28.0,第一季,梯田,28.0,10,330.0,350.0,7.0,9240.0,9800.0,7392.0,51744.0,41944.0
B5,5,爬豆,粮食（豆类）,25.0,第一季,梯田,25.0,11,395.0,350.0,6.75,9875.0,8750.0,7900.0,53325.0,44575.0
B6,8,谷子,粮食,86.0,第一季,梯田,86.0,12,380.0,360.0,6.75,32680.0,30960.0,26144.0,176472.0,145512.0
B7,6,小麦,粮食,55.0,第一季,梯田,55.0,13,760.0,450.0,3.5,41800.0,24750.0,33440.0,117040.0,92290.0
B8,8,谷子,粮食,44.0,第一季,梯田,44.0,14,380.0,360.0,6.75,16720.0,15840.0,13376.0,90288.0,74448.0
B9,9,高粱,粮食,50.0,第一季,梯田,50.0,15,600.0,400.0,6.0,30000.0,20000.0,24000.0,144000.0,124000.0
B10,10,黍子,粮食,25.0,第一季,梯田,25.0,16,500.0,360.0,7.5,12500.0,9000.0,10000.0,75000.0,66000.0
B11,1,黄豆,粮食（豆类）,60.0,第一季,梯田,60.0,17,380.0,400.0,3.25,22800.0,24000.0,18240.0,59280.0,35280.0
B12,7,玉米,粮食,45.0,第一季,梯田,45.0,18,950.0,500.0,3.0,42750.0,22500.0,34200.0,102600.0,80100.0
B13,14,莜麦,粮食,35.0,第一季,梯田,35.0,19,400.0,400.0,5.5,14000.0,14000.0,11200.0,61600.0,47600.0
B14,15,大麦,粮食,20.0,第一季,梯田,20.0,20,500.0,350.0,3.5,10000.0,7000.0,8000.0,28000.0,21000.0
C1,11,荞麦,粮食,15.0,第一季,山坡地,15.0,21,100.0,350.0,40.0,1500.0,5250.0,1200.0,48000.0,42750.0
C2,12,南瓜,粮食,13.0,第一季,山坡地,13.0,22,2700.0,1000.0,1.5,35100.0,13000.0,28080.0,42120.0,29120.0
C3,1,黄豆,粮食（豆类）,15.0,第一季,山坡地,15.0,23,360.0,400.0,3.25,5400.0,6000.0,4320.0,14040.0,8040.0
C4,13,红薯,粮食,18.0,第一季,山坡地,18.0,24,2000.0,2000.0,3.25,36000.0,36000.0,28800.0,93600.0,57600.0
C5,6,小麦,粮食,27.0,第一季,山坡地,27.0,25,720.0,450.0,3.5,19440.0,12150.0,15552.0,54432.0,42282.0
C6,3,红豆,粮食（豆类）,20.0,第一季,山坡地,20.0,26,360.0,350.0,8.25,7200.0,7000.0,5760.0,47520.0,40520.0
D1,20,土豆,蔬菜,15.0,第一季,水浇地,15.0,27,2000.0,2000.0,3.75,30000.0,30000.0,24000.0,90000.0,60000.0
D1,36,白萝卜,蔬菜,15.0,第二季,水浇地,15.0,27,4000.0,500.0,2.5,60000.0,7500.0,48000.0,120000.0,112500.0
D2,28,小青菜,蔬菜,10.0,第一季,水浇地,10.0,28,3200.0,1600.0,5.75,32000.0,16000.0,25600.0,147200.0,131200.0
D2,35,大白菜,蔬菜,10.0,第二季,水浇地,10.0,28,5000.0,2000.0,2.5,50000.0,20000.0,40000.0,100000.0,80000.0
D3,21,西红柿,蔬菜,14.0,第一季,水浇地,14.0,29,2400.0,2000.0,6.25,33600.0,28000.0,26880.0,168000.0,140000.0
D3,35,大白菜,蔬菜,14.0,第二季,水浇地,14.0,29,5000.0,2000.0,2.5,70000.0,28000.0,56000.0,140000.0,112000.0
D4,22,茄子,蔬菜,6.0,第一季,水浇地,6.0,30,6400.0,2000.0,5.5,38400.0,12000.0,30720.0,168960.0,156960.0
D4,35,大白菜,蔬菜,6.0,第二季,水浇地,6.0,30,5000.0,2000.0,2.5,30000.0,12000.0,24000.0,60000.0,48000.0
D5,17,豇豆,蔬菜（豆类）,10.0,第一季,水浇地,10.0,31,3000.0,2000.0,8.0,30000.0,20000.0,24000.0,192000.0,172000.0
D5,36,白萝卜,蔬菜,10.0,第二季,水浇地,10.0,31,4000.0,500.0,2.5,40000.0,5000.0,32000.0,80000.0,75000.0
D6,18,刀豆,蔬菜（豆类）,12.0,第一季,水浇地,12.0,32,2000.0,1000.0,6.75,24000.0,12000.0,19200.0,129600.0,117600.0
D6,37,红萝卜,蔬菜,12.0,第二季,水浇地,12.0,32,3000.0,500.0,3.25,36000.0,6000.0,28800.0,93600.0,87600.0
D7,16,水稻,粮食,22.0,第一季,水浇地,22.0,33,500.0,680.0,7.0,11000.0,14960.0,8800.0,61600.0,46640.0
D8,16,水稻,粮食,20.0,第一季,水浇地,20.0,34,500.0,680.0,7.0,10000.0,13600.0,8000.0,56000.0,42400.0
E1,18,刀豆,蔬菜（豆类）,0.6,第一季,普通大棚,0.6,35,2400.0,1200.0,6.75,1440.0,720.0,1152.0,7776.0,7056.0
E1,38,榆黄菇,食用菌,0.6,第二季,普通大棚,0.6,35,5000.0,3000.0,57.5,3000.0,1800.0,2400.0,138000.0,136200.0
E2,24,青椒,蔬菜,0.6,第一季,普通大棚,0.6,36,3000.0,2000.0,5.25,1800.0,1200.0,1440.0,7560.0,6360.0
E2,38,榆黄菇,食用菌,0.6,第二季,普通大棚,0.6,36,5000.0,3000.0,57.5,3000.0,1800.0,2400.0,138000.0,136200.0
E3,25,菜花,蔬菜,0.6,第一季,普通大棚,0.6,37,4000.0,3000.0,5.5,2400.0,1800.0,1920.0,10560.0,8760.0
E3,38,榆黄菇,食用菌,0.6,第二季,普通大棚,0.6,37,5000.0,3000.0,57.5,3000.0,1800.0,2400.0,138000.0,136200.0
E4,26,包菜,蔬菜,0.6,第一季,普通大棚,0.6,38,4500.0,3500.0,6.5,2700.0,2100.0,2160.0,14040.0,11940.0
E4,39,香菇,食用菌,0.6,第二季,普通大棚,0.6,38,4000.0,2000.0,19.0,2400.0,1200.0,1920.0,36480.0,35280.0
E5,28,小青菜,蔬菜,0.6,第一季,普通大棚,0.6,39,4000.0,2000.0,5.75,2400.0,1200.0,1920.0,11040.0,9840.0
E5,39,香菇,食用菌,0.6,第二季,普通大棚,0.6,39,4000.0,2000.0,19.0,2400.0,1200.0,1920.0,36480.0,35280.0
E6,27,油麦菜,蔬菜,0.6,第一季,普通大棚,0.6,40,5000.0,2000.0,5.0,3000.0,1200.0,2400.0,12000.0,10800.0
E6,39,香菇,食用菌,0.6,第二季,普通大棚,0.6,40,4000.0,2000.0,19.0,2400.0,1200.0,1920.0,36480.0,35280.0
E7,19,芸豆,蔬菜（豆类）,0.6,第一季,普通大棚,0.6,41,3600.0,2400.0,6.5,2160.0,1440.0,1728.0,11232.0,9792.0
E7,40,白灵菇,食用菌,0.6,第二季,普通大棚,0.6,41,10000.0,10000.0,16.0,6000.0,6000.0,4800.0,76800.0,70800.0
E8,19,芸豆,蔬菜（豆类）,0.6,第一季,普通大棚,0.6,42,3600.0,2400.0,6.5,2160.0,1440.0,1728.0,11232.0,9792.0
E8,40,白灵菇,食用菌,0.6,第二季,普通大棚,0.6,42,10000.0,10000.0,16.0,6000.0,6000.0,4800.0,76800.0,70800.0
E9,18,刀豆,蔬菜（豆类）,0.6,第一季,普通大棚,0.6,43,2400.0,1200.0,6.75,1440.0,720.0,1152.0,7776.0,7056.0
E9,40,白灵菇,食用菌,0.6,第二季,普通大棚,0.6,43,10000.0,10000.0,16.0,6000.0,6000.0,4800.0,76800.0,70800.0
E10,17,豇豆,蔬菜（豆类）,0.6,第一季,普通大棚,0.6,44,3600.0,2400.0,8.0,2160.0,1440.0,1728.0,13824.0,12384.0
E10,41,羊肚菌,食用菌,0.6,第二季,普通大棚,0.6,44,1000.0,10000.0,100.0,600.0,6000.0,480.0,48000.0,42000.0
E11,17,豇豆,蔬菜（豆类）,0.6,第一季,普通大棚,0.6,45,3600.0,2400.0,8.0,2160.0,1440.0,1728.0,13824.0,12384.0
E11,41,羊肚菌,食用菌,0.6,第二季,普通大棚,0.6,45,1000.0,10000.0,100.0,600.0,6000.0,480.0,48000.0,42000.0
E12,22,茄子,蔬菜,0.6,第一季,普通大棚,0.6,46,8000.0,2400.0,5.5,4800.0,1440.0,3840.0,21120.0,19680.0
E12,41,羊肚菌,食用菌,0.6,第二季,普通大棚,0.6,46,1000.0,10000.0,100.0,600.0,6000.0,480.0,48000.0,42000.0
E13,21,西红柿,蔬菜,0.6,第一季,普通大棚,0.6,47,3000.0,2400.0,6.25,1800.0,1440.0,1440.0,9000.0,7560.0
E13,41,羊肚菌,食用菌,0.6,第二季,普通大棚,0.6,47,1000.0,10000.0,100.0,600.0,6000.0,480.0,48000.0,42000.0
E14,29,黄瓜,蔬菜,0.6,第一季,普通大棚,0.6,48,15000.0,3500.0,7.0,9000.0,2100.0,7200.0,50400.0,48300.0
E14,41,羊肚菌,食用菌,0.6,第二季,普通大棚,0.6,48,1000.0,10000.0,100.0,600.0,6000.0,480.0,48000.0,42000.0
E15,30,生菜,蔬菜,0.3,第一季,普通大棚,0.6,49,5000.0,2000.0,5.25,1500.0,600.0,1200.0,6300.0,5700.0
E15,27,油麦菜,蔬菜,0.3,第一季,普通大棚,0.6,49,5000.0,2000.0,5.0,1500.0,600.0,1200.0,6000.0,5400.0
E15,41,羊肚菌,食用菌,0.6,第二季,普通大棚,0.6,49,1000.0,10000.0,100.0,600.0,6000.0,480.0,48000.0,42000.0
E16,31,辣椒,蔬菜,0.6,第一季,普通大棚,0.6,50,2000.0,1200.0,7.25,1200.0,720.0,960.0,6960.0,6240.0
E16,41,羊肚菌,食用菌,0.6,第二季,普通大棚,0.6,50,1000.0,10000.0,100.0,600.0,6000.0,480.0,48000.0,42000.0
F1,32,空心菜,蔬菜,0.3,第一季,智慧大棚,0.6,51,11000.0,5500.0,5.4,3300.0,1650.0,2640.0,14256.000000000002,12606.000000000002
F1,33,黄心菜,蔬菜,0.3,第一季,智慧大棚,0.6,51,5400.0,2750.0,5.4,1620.0,825.0,1296.0,6998.400000000001,6173.400000000001
F1,24,青椒,蔬菜,0.3,第二季,智慧大棚,0.6,51,2700.0,2200.0,6.8,810.0,660.0,648.0,4406.4,3746.3999999999996
F1,21,西红柿,蔬菜,0.3,第二季,智慧大棚,0.6,51,2700.0,2640.0,7.5,810.0,792.0,648.0,4860.0,4068.0
F2,25,菜花,蔬菜,0.3,第一季,智慧大棚,0.6,52,3600.0,3300.0,6.6,1080.0,990.0,864.0,5702.4,4712.4
F2,26,包菜,蔬菜,0.3,第一季,智慧大棚,0.6,52,4100.0,3850.0,7.8,1230.0,1155.0,984.0,7675.2,6520.2
F2,22,茄子,蔬菜,0.3,第二季,智慧大棚,0.6,52,7200.0,2640.0,6.6,2160.0,792.0,1728.0,11404.8,10612.8
F2,29,黄瓜,蔬菜,0.3,第二季,智慧大棚,0.6,52,13500.0,3850.0,8.4,4050.0,1155.0,3240.0,27216.0,26061.0
F3,17,豇豆,蔬菜（豆类）,0.6,第一季,智慧大棚,0.6,53,3200.0,2640.0,9.600000000000001,1920.0,1584.0,1536.0,14745.600000000002,13161.600000000002
F3,28,小青菜,蔬菜,0.3,第二季,智慧大棚,0.6,53,3600.0,2200.0,6.9,1080.0,660.0,864.0,5961.6,5301.6
F3,30,生菜,蔬菜,0.3,第二季,智慧大棚,0.6,53,4500.0,2200.0,6.300000000000001,1350.0,660.0,1080.0,6804.000000000001,6144.000000000001
F4,19,芸豆,蔬菜（豆类）,0.6,第一季,智慧大棚,0.6,54,3200.0,2640.0,7.8,1920.0,1584.0,1536.0,11980.8,10396.8
F4,34,芹菜,蔬菜,0.3,第二季,智慧大棚,0.6,54,6000.0,1200.0,4.8,1800.0,360.0,1440.0,6912.0,6552.0
F4,23,菠菜,蔬菜,0.3,第二季,智慧大棚,0.6,54,3000.0,3000.0,6.9,900.0,900.0,720.0,4968.0,4068.0
